original_release_year,raw_count,broad_candidate_count
1970,3,3
1971,6,4
1972,25,18
1973,37,20
1974,30,22
1975,32,27
1976,64,50
1977,102,68
1978,139,92
1979,209,123
1980,249,212
1981,457,366
1982,984,782
1983,1379,1078
1984,1130,886
1985,943,744
1986,1016,795
1987,1267,1003
1988,1277,877
1989,1382,960
1990,1553,1043
1991,1693,1156
1992,1869,1205
1993,1853,1224
1994,2070,1367
1995,2229,1490
1996,2079,1415
1997,2040,1360
1998,2083,1388
1999,2254,1477
2000,2332,1524
2001,2297,1596
2002,2468,1581
2003,2500,1527
2004,2482,1571
2005,2748,1807
2006,2929,1930
2007,3113,2079
2008,3413,2253
2009,3913,2588
2010,4111,2684
2011,4121,2757
2012,4214,2811
2013,4510,3002
2014,5643,3946
2015,7071,5122
2016,9453,7240
2017,12402,9818
2018,13770,10836
2019,13265,10294
2020,15126,11636
2021,19833,14030
2022,18362,14189
2023,21704,16080
2024,27198,19836
2025,25059,20362
