original_release_year,igdb_broad_rows,external_steam_matches,external_llm_annotations,title_fallback_llm_annotations,any_steam_llm_annotations,needs_llm_annotation
1970,3,1,0,1,1,2
1971,4,0,0,1,1,3
1972,18,0,0,3,3,15
1973,20,0,0,2,2,18
1974,22,0,0,0,0,22
1975,27,0,0,1,1,26
1976,50,0,0,1,1,49
1977,68,0,0,1,1,67
1978,92,0,0,2,2,90
1979,123,0,0,3,3,120
1980,212,1,0,3,3,209
1981,366,1,0,8,8,358
1982,782,5,1,11,12,770
1983,1078,21,2,30,32,1046
1984,886,13,1,17,18,868
1985,744,22,1,14,15,729
1986,795,15,1,23,24,771
1987,1003,25,4,32,36,967
1988,877,27,7,27,34,843
1989,960,38,11,24,35,925
1990,1043,39,8,14,22,1021
1991,1156,46,12,20,32,1124
1992,1205,53,21,22,43,1162
1993,1224,60,23,26,49,1175
1994,1367,63,28,26,54,1313
1995,1490,52,26,22,48,1442
1996,1415,72,41,13,54,1361
1997,1360,77,36,20,56,1304
1998,1388,79,45,20,65,1323
1999,1477,76,43,15,58,1419
2000,1524,63,31,21,52,1472
2001,1596,77,50,22,72,1524
2002,1581,77,45,17,62,1519
2003,1527,103,66,17,83,1444
2004,1571,91,60,26,86,1485
2005,1807,134,85,32,117,1690
2006,1930,160,96,29,125,1805
2007,2079,172,109,29,138,1941
2008,2253,216,130,42,172,2081
2009,2588,318,188,35,223,2365
2010,2684,327,190,54,244,2440
2011,2757,390,235,58,293,2464
2012,2811,502,296,58,354,2457
2013,3002,666,423,78,501,2501
2014,3946,1332,835,70,905,3041
2015,5122,2511,1459,82,1541,3581
2016,7240,4400,2189,118,2307,4933
2017,9818,6699,2493,145,2638,7180
2018,10836,7704,2501,144,2645,8191
2019,10294,7187,2271,133,2404,7890
2020,11636,7871,2506,199,2705,8931
2021,14030,9725,2350,226,2576,11454
2022,14189,9613,2238,252,2490,11699
2023,16080,11366,2421,296,2717,13363
2024,19836,15093,2849,292,3141,16695
2025,20362,15871,1358,223,1581,18781
