original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1970,1,11304,Highnoon,Main Game,,Action,Single player,Call-A-Computer time-shared mainframe computer system | Web browser,3.5,0.0,True
1970,2,56115,Jet Rocket,Main Game,Shooter | Simulator,Action | Open world,,Arcade,3.0,0.0,True
1970,3,76506,Game of Life,Main Game,Indie | Simulator,,Single player,BBC Microcomputer System | Bally Astrocade | PC (Microsoft Windows) | PDP-7,1.0,0.0,True
1971,1,11325,The Oregon Trail,Main Game,Adventure | Simulator | Strategy,Educational | Historical,Single player,CDC Cyber 70 | HP 2100,4.0,87.0,True
1971,2,11245,Computer Space,Main Game,Arcade | Shooter,Science fiction,Single player,Arcade,5.5,15.0,True
1971,3,11485,Star Trek,Main Game,Strategy | Turn-based strategy (TBS),Science fiction,Single player,HP 2100 | Legacy Computer | SDS Sigma 7 | Sol-20,2.0,12.0,True
1971,4,11412,Baseball,Main Game,Sport,Action,Multiplayer | Split screen,PDP-10,1.0,0.0,True
1971,5,11396,Galaxy Game,Expanded Game,Shooter,Science fiction,Multiplayer,Arcade | PDP-11,2.0,18.0,False
1971,6,351414,Freeway Crossing Program,Main Game,Simulator,,,Imlac PDS-1,0.0,0.0,False
1972,1,1333,Pong,Main Game,Arcade | Simulator | Sport,Action,Multiplayer | Single player,Arcade | Legacy Mobile Device | PC (Microsoft Windows) | Plug & Play,4.0,402.0,True
1972,2,7582,Baseball,Main Game,Sport,Action,Single player,Odyssey,2.0,18.0,True
1972,3,28363,Shooting Gallery,Main Game,Shooter,Action,Single player,Odyssey,5.5,0.0,True
1972,4,11517,Haunted House,Main Game,Adventure,Horror,Single player,Odyssey,5.0,0.0,True
1972,5,11506,Analogic,Main Game,Puzzle,,Single player,Odyssey,4.5,0.0,True
1972,6,18203,Killer Shark,Main Game,Arcade,,Single player,Arcade,4.5,0.0,True
1972,7,11533,Cat and Mouse,Main Game,Arcade,,Single player,Odyssey,4.0,0.0,True
1972,8,11505,Simon Says,Main Game,Point-and-click,Educational | Kids,Single player,Odyssey,4.0,0.0,True
1972,9,11531,States,Main Game,Point-and-click,Educational,Single player,Odyssey,4.0,0.0,True
1972,10,109451,Dogfight!,Main Game,Shooter,,,Odyssey,3.0,0.0,True
1972,11,109452,Prehistoric Safari,Main Game,Shooter,,,Odyssey,3.0,0.0,True
1972,12,109450,Shootout!,Main Game,Shooter,,,Odyssey,3.0,0.0,True
1972,13,11497,Empire,Main Game,Turn-based strategy (TBS),"4X (explore, expand, exploit, and exterminate) | Warfare",Single player,HP 2100,2.0,0.0,True
1972,14,18360,Fun Zoo,Main Game,,,Single player,Odyssey,2.0,0.0,True
1972,15,11521,Roulette,Main Game,,,Single player,Odyssey,2.0,0.0,True
1973,1,11552,Space Race,Main Game,Arcade | Racing,Science fiction,Multiplayer,Arcade,3.0,27.0,True
1973,2,11498,Hunt the Wumpus,Main Game,Adventure | Puzzle,Fantasy,Single player,Microcomputer,5.5,15.0,True
1973,3,7430,Maze,Main Game,Shooter,Action,Multiplayer | Single player,Imlac PDS-1 | PDP-10,5.5,0.0,True
1973,4,18585,Hockey,Main Game,Arcade,Action,Multiplayer,Arcade,4.5,0.0,True
1973,5,18344,Basketball (1973),Main Game,Arcade | Sport,Action,Single player,Odyssey,4.0,0.0,True
1973,6,39712,Laser Clay Shooting System,Main Game,Arcade | Shooter,Action,,Arcade,4.0,0.0,True
1973,7,11518,Empire,Main Game,Real Time Strategy (RTS) | Shooter | Strategy,Science fiction,Multiplayer,PLATO,3.0,0.0,True
1973,8,7427,Gotcha,Main Game,Arcade | Puzzle | Strategy,Action,Multiplayer,Arcade,3.0,0.0,True
1973,9,172593,Astro Race,Main Game,Arcade | Racing,Action | Science fiction,Multiplayer,Arcade,2.5,0.0,True
1973,10,170846,Leader,Main Game,Arcade | Sport,,,Arcade,2.0,0.0,True
1973,11,18154,Pong Doubles,Main Game,Arcade | Sport,,Multiplayer,Arcade | Plug & Play,2.0,0.0,True
1973,12,16975,Trek73,Main Game,Simulator,Science fiction,Single player,DOS | HP 2100 | Linux,2.0,0.0,True
1973,13,130946,Winner,Main Game,Arcade | Sport,,Multiplayer,Arcade,2.0,0.0,True
1973,14,170781,Asteroid,Main Game,,,,Arcade,1.0,0.0,True
1973,15,41540,Brain Wave,Main Game,,,,Odyssey,1.0,0.0,True
1974,1,7428,Tank,Main Game,Arcade,Action,Multiplayer,Arcade,4.5,15.0,True
1974,2,172546,Attack UFO,Main Game,Arcade | Shooter,Action | Science fiction,Multiplayer | Single player,Arcade,5.5,0.0,True
1974,3,18159,Clean Sweep,Main Game,Arcade,Action,Multiplayer | Single player,AY-3-8606 | Arcade,5.5,0.0,True
1974,4,11511,Qwak!,Main Game,Arcade | Shooter,Action,Single player,Arcade,5.5,0.0,True
1974,5,80032,Wander,Main Game,Adventure | Indie,Fantasy,Single player,DOS | Legacy Computer,5.5,0.0,True
1974,6,16980,Wild Gunman,Main Game,Arcade | Shooter,Action | Historical,Single player,Arcade,5.5,0.0,True
1974,7,63847,Balloon Gun,Main Game,Shooter,Action,,Arcade,4.5,0.0,True
1974,8,225597,Touch Me,Main Game,Arcade,,Single player,Arcade,4.5,0.0,True
1974,9,18160,Wipe Out,Main Game,Arcade,Action,Multiplayer | Single player,Arcade,4.5,0.0,True
1974,10,7429,Gran Trak 10,Main Game,Arcade | Racing,Action,Single player,Arcade,4.0,0.0,True
