subset,archetype,count,share
all_with_llm,Not applicable,10753,0.21515036315252406
all_with_llm,Uncertain,8431,0.16869085015706597
all_with_llm,Hero/Warrior,7144,0.14294003481462214
all_with_llm,Explorer/Seeker,5360,0.10724504291802557
all_with_llm,Everyman/Orphan,3823,0.07649212669321115
all_with_llm,Sage/Investigator,2396,0.04794013485663979
all_with_llm,Rebel/Outlaw,2215,0.04431861381780348
all_with_llm,Ruler/Leader,2167,0.04335821044838832
all_with_llm,Jester/Trickster,1713,0.03427439524600332
all_with_llm,Magician/Transformer,1653,0.03307389103423438
all_with_llm,Creator/Artist,1625,0.032513655735408875
all_with_llm,Lover,1169,0.023389823725964907
all_with_llm,Caregiver/Guardian,790,0.015806638788291083
all_with_llm,Innocent,740,0.014806218611816963
core_strict_12,Hero/Warrior,3462,0.2591511340669212
core_strict_12,Explorer/Seeker,2330,0.17441425256381465
core_strict_12,Everyman/Orphan,1599,0.11969458791825735
core_strict_12,Sage/Investigator,1211,0.09065049779175088
core_strict_12,Rebel/Outlaw,980,0.07335878434014521
core_strict_12,Ruler/Leader,800,0.05988472191032263
core_strict_12,Creator/Artist,600,0.04491354143274197
core_strict_12,Magician/Transformer,596,0.04461411782319036
core_strict_12,Jester/Trickster,589,0.044090126506475036
core_strict_12,Lover,505,0.03780223070589116
core_strict_12,Caregiver/Guardian,383,0.02866981061456696
core_strict_12,Innocent,304,0.0227561943259226
core_broad_12,Hero/Warrior,6004,0.24353046158838323
core_broad_12,Explorer/Seeker,4429,0.17964630485925204
core_broad_12,Everyman/Orphan,3112,0.12622698142289285
core_broad_12,Sage/Investigator,1974,0.08006814310051108
core_broad_12,Rebel/Outlaw,1750,0.0709823963657013
core_broad_12,Ruler/Leader,1406,0.05702928530867202
core_broad_12,Jester/Trickster,1291,0.05236472783321165
core_broad_12,Magician/Transformer,1240,0.05029609799626836
core_broad_12,Creator/Artist,1236,0.05013385251886104
core_broad_12,Lover,940,0.03812768719071956
core_broad_12,Caregiver/Guardian,675,0.02737892431248479
core_broad_12,Innocent,597,0.024215137503042102
core_maybe_12,Hero/Warrior,6658,0.23881774812582948
core_maybe_12,Explorer/Seeker,5041,0.1808171024785681
core_maybe_12,Everyman/Orphan,3561,0.12773054987625093
core_maybe_12,Sage/Investigator,2213,0.0793787438573837
core_maybe_12,Rebel/Outlaw,2005,0.0719179310592202
core_maybe_12,Ruler/Leader,1560,0.05595609598622619
core_maybe_12,Jester/Trickster,1507,0.054055023494386456
core_maybe_12,Magician/Transformer,1455,0.05218982029484558
core_maybe_12,Creator/Artist,1393,0.04996592417231608
core_maybe_12,Lover,1076,0.038595358513576525
core_maybe_12,Caregiver/Guardian,730,0.026184583378169948
core_maybe_12,Innocent,680,0.0243911187632268
review_pool_12,Not applicable,8592,0.26068752085924934
review_pool_12,Uncertain,8431,0.25580266391577416
review_pool_12,Hero/Warrior,3320,0.10073121150520344
review_pool_12,Explorer/Seeker,2818,0.08550016687399496
review_pool_12,Everyman/Orphan,2087,0.06332109590703601
review_pool_12,Rebel/Outlaw,1124,0.03410297642525562
review_pool_12,Ruler/Leader,1113,0.033769228435328744
review_pool_12,Sage/Investigator,1085,0.03291968809733305
review_pool_12,Jester/Trickster,1051,0.031888103401195425
review_pool_12,Magician/Transformer,989,0.030006978367062107
review_pool_12,Creator/Artist,934,0.028338238417427712
review_pool_12,Lover,626,0.018993294699475107
review_pool_12,Innocent,409,0.012409357080008496
review_pool_12,Caregiver/Guardian,380,0.011529476015655815
