rank_bin_5000,rows,llm_results,core_strict_12,core_broad_12,core_maybe_12,review_pool_12,original_primary_shadow
1-5000,5000,5000,2692,3236,3489,1799,339
5001-10000,5000,5000,2489,3477,3614,2022,291
10001-15000,5000,4980,1942,3114,3371,2538,281
15001-20000,5000,5000,1640,2881,3162,2716,279
20001-25000,5000,5000,1288,2582,2935,3303,235
25001-30000,5000,5000,983,2380,2767,3717,245
30001-35000,5000,4999,840,2061,2508,3928,230
35001-40000,5000,5000,629,1855,2362,4113,248
40001-45000,5000,5000,473,1669,1941,4349,170
45001-50000,5000,5000,383,1399,1730,4474,186
