subset,archetype,count,share
all_with_llm,Uncertain,19846,0.39708677644610735
all_with_llm,Explorer/Seeker,5484,0.10972608495568138
all_with_llm,Hero/Warrior,4940,0.09884151343564297
all_with_llm,Rebel/Outlaw,3598,0.07199023589907762
all_with_llm,Everyman/Orphan,3244,0.06490726104964085
all_with_llm,Sage/Investigator,2459,0.04920066427899718
all_with_llm,Magician/Transformer,2327,0.046559555013105505
all_with_llm,Jester/Trickster,2308,0.046179395346045336
all_with_llm,Ruler/Leader,1919,0.03839612637307669
all_with_llm,Creator/Artist,1503,0.03007263050481202
all_with_llm,Innocent,846,0.016927109385942097
all_with_llm,Lover,765,0.015306428700054022
all_with_llm,Caregiver/Guardian,740,0.014806218611816963
core_strict_12,Explorer/Seeker,2615,0.1957481847443671
core_strict_12,Hero/Warrior,2340,0.1751628115876937
core_strict_12,Rebel/Outlaw,1532,0.11467924245826784
core_strict_12,Everyman/Orphan,1332,0.09970806198068717
core_strict_12,Sage/Investigator,1177,0.08810539711056217
core_strict_12,Magician/Transformer,998,0.07470619058312748
core_strict_12,Jester/Trickster,871,0.06519949097986376
core_strict_12,Ruler/Leader,831,0.06220525488434763
core_strict_12,Creator/Artist,512,0.03832622202260648
core_strict_12,Caregiver/Guardian,378,0.028295531102627444
core_strict_12,Lover,371,0.027771539785912118
core_strict_12,Innocent,344,0.02575043042143873
core_strict_12,Uncertain,58,0.0043416423384983905
core_broad_12,Explorer/Seeker,4583,0.18589275573943376
core_broad_12,Hero/Warrior,4027,0.16334063437981666
core_broad_12,Rebel/Outlaw,2921,0.11847975987669344
core_broad_12,Everyman/Orphan,2635,0.10687920824207026
core_broad_12,Sage/Investigator,2042,0.08282631621643546
core_broad_12,Magician/Transformer,1877,0.07613369027338363
core_broad_12,Jester/Trickster,1809,0.07337551715745924
core_broad_12,Ruler/Leader,1506,0.06108542224385495
core_broad_12,Creator/Artist,1103,0.04473919039506774
core_broad_12,Innocent,688,0.02790622211405857
core_broad_12,Lover,638,0.025878153646467103
core_broad_12,Caregiver/Guardian,601,0.02437738298044942
core_broad_12,Uncertain,224,0.009085746734809767
core_maybe_12,Explorer/Seeker,5118,0.18357903798558053
core_maybe_12,Hero/Warrior,4463,0.16008465152982532
core_maybe_12,Rebel/Outlaw,3290,0.11800997166325908
core_maybe_12,Everyman/Orphan,3013,0.10807417769647405
core_maybe_12,Sage/Investigator,2252,0.08077764625703934
core_maybe_12,Magician/Transformer,2153,0.07722658631945192
core_maybe_12,Jester/Trickster,2077,0.07450052010473833
core_maybe_12,Ruler/Leader,1682,0.06033214964668747
core_maybe_12,Creator/Artist,1285,0.04609204060403888
core_maybe_12,Innocent,793,0.028444348792998314
core_maybe_12,Lover,709,0.025431328239893827
core_maybe_12,Caregiver/Guardian,676,0.02424764159403135
core_maybe_12,Uncertain,368,0.013199899565981563
review_pool_12,Uncertain,17616,0.534482235504718
review_pool_12,Explorer/Seeker,2636,0.07997815467702296
review_pool_12,Hero/Warrior,2306,0.06996571497921661
review_pool_12,Rebel/Outlaw,1877,0.056949543372068326
review_pool_12,Everyman/Orphan,1802,0.05467398889529415
review_pool_12,Jester/Trickster,1325,0.040201462423010405
review_pool_12,Magician/Transformer,1208,0.0366515974392427
review_pool_12,Sage/Investigator,1148,0.03483115385782336
review_pool_12,Ruler/Leader,966,0.02930914166085136
review_pool_12,Creator/Artist,915,0.027761764616644924
review_pool_12,Innocent,477,0.014472526472283746
review_pool_12,Lover,352,0.010679935677660124
review_pool_12,Caregiver/Guardian,331,0.010042780424163355
