subset,shadow_load_category,count,share
all_with_llm,none,38899,0.7783068888933352
all_with_llm,low,7341,0.14688169030993017
all_with_llm,medium,3127,0.06256627783669141
all_with_llm,high,612,0.012245142960043217
core_strict_12,none,8078,0.6046859794894828
core_strict_12,low,3280,0.24552735983232277
core_strict_12,medium,1574,0.11782319035855977
core_strict_12,high,427,0.0319634703196347
core_broad_12,none,15928,0.6460614910359374
core_broad_12,low,5615,0.22775208891052162
core_broad_12,medium,2568,0.1041615964954977
core_broad_12,high,543,0.02202482355804332
core_maybe_12,none,17980,0.6449298755335557
core_maybe_12,low,6378,0.22877434628214785
core_maybe_12,medium,2934,0.10524050360486388
core_maybe_12,high,587,0.02105527457943255
