selection_rank,appid,name,total_ratings_pos_neg,positive_ratio,steamspy_owners,v005_split,v005_model,llm6_model_used,corpus_label,is_core_strict,is_core_broad,is_core_maybe,is_review_pool,is_missing_llm_result,llm6_has_clear_main_protagonist,llm6_protagonist_name,llm6_protagonist_type,llm6_protagonist_confidence_0_3,llm6_primary_archetype,llm6_secondary_archetype,llm6_tertiary_archetype,llm6_archetype_confidence_0_3,llm6_archetype_suitability_0_3,llm6_shadow_load_0_3,llm6_player_projection_0_3,llm6_narrative_complexity_0_3,llm6_suggested_include_in_final_corpus,llm6_needs_manual_review,llm6_evidence_basis,llm6_exclusion_reason,llm6_note,rank_bin_5000,available_terms_for_later_inspection,control_protagonist,llm6_custom_id,llm6_split_label,llm6_part_no,llm6_source_output_file
10481,915580,Dungeon Hunter Champions,537,0.5977653631284916,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10482,1081560,GOLD EXPRESS,537,0.6741154562383612,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10483,1102980,英雄群侠传,537,0.9124767225325884,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10484,1811010,Start11,537,0.4674115456238361,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10485,1957990,Tile Cities,537,0.947858472998138,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10486,2636420,Graveyard Shift,537,0.7523277467411545,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10487,2714970,Backrooms Media,537,0.4227188081936685,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10488,506900,Downward: Enhanced Edition,536,0.7164179104477612,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10489,576860,Summer Nightmare,536,0.5503731343283582,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10490,676500,Time Warpers,536,0.835820895522388,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10491,715010,Diamo XL,536,0.9365671641791044,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10492,753230,STAY,536,0.6921641791044776,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10493,987230,Shadow Legend VR,536,0.7798507462686567,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10494,1092140,Exit From,536,0.8619402985074627,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10495,1477920,Night Book,536,0.6958955223880597,"0 .. 20,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10496,1691320,Hellbreach: Vegas,536,0.7518656716417911,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10497,1813150,Jack Move: I.C.E. Breaker,536,0.9421641791044776,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10498,1978720,Ultimate Ragdoll Game,536,0.8003731343283582,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10499,2186360,IDUN - Frontline Survival,536,0.7854477611940298,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
10500,2332410,Hero of Fate,536,0.8078358208955224,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,10001-15000,,,,,,
31100,296030,Qasir al-Wasat: International Edition,47,0.7872340425531915,"0 .. 20,000",rest_54mini,gpt-5.4-mini,,missing_llm_result,False,False,False,False,True,,,,,,,,,,,,,,,,,,30001-35000,,,,,,
