subset,primary_archetype,count,share
all_with_llm,Not applicable,10753,0.21515036315252406
all_with_llm,Uncertain,8378,0.1676304047700034
all_with_llm,Hero/Warrior,6447,0.12899417755457293
all_with_llm,Explorer/Seeker,5132,0.10268312691330359
all_with_llm,Everyman/Orphan,3406,0.06814862242141699
all_with_llm,Shadow/Antihero,2504,0.05010104243782389
all_with_llm,Sage/Investigator,2299,0.04599931971428
all_with_llm,Ruler/Leader,2137,0.04275795834250385
all_with_llm,Rebel/Outlaw,1703,0.034074311210708495
all_with_llm,Creator/Artist,1625,0.032513655735408875
all_with_llm,Jester/Trickster,1614,0.03229356329658457
all_with_llm,Magician/Transformer,1330,0.02661117669421157
all_with_llm,Lover,1137,0.022749554813021468
all_with_llm,Caregiver/Guardian,775,0.015506512735348846
all_with_llm,Innocent,739,0.01478621020828748
core_strict,Hero/Warrior,3097,0.2317593354785602
core_strict,Explorer/Seeker,2231,0.16695352839931152
core_strict,Everyman/Orphan,1442,0.10790990047145102
core_strict,Sage/Investigator,1157,0.08658235426176757
core_strict,Shadow/Antihero,1090,0.08156851006510514
core_strict,Ruler/Leader,778,0.058220459477662204
core_strict,Rebel/Outlaw,749,0.05605028810895757
core_strict,Creator/Artist,600,0.04490009728354411
core_strict,Jester/Trickster,546,0.040859088528025146
core_strict,Magician/Transformer,498,0.037267080745341616
core_strict,Lover,494,0.03696774676345132
core_strict,Caregiver/Guardian,374,0.027987727306742496
core_strict,Innocent,303,0.022674549128189777
core_strict,Not applicable,3,0.00022450048641772056
core_strict,Uncertain,1,7.483349547257353e-05
core_broad,Hero/Warrior,5430,0.22000729305943845
core_broad,Explorer/Seeker,4249,0.17215671974393257
core_broad,Everyman/Orphan,2796,0.1132855232770147
core_broad,Shadow/Antihero,1934,0.07835987196628987
core_broad,Sage/Investigator,1895,0.0767797090879624
core_broad,Ruler/Leader,1378,0.05583242170090353
core_broad,Rebel/Outlaw,1355,0.05490053077265913
core_broad,Creator/Artist,1236,0.05007900814391637
core_broad,Jester/Trickster,1204,0.048782464243750254
core_broad,Magician/Transformer,1006,0.04076009886147239
core_broad,Lover,917,0.037154086139135366
core_broad,Caregiver/Guardian,661,0.02678173493780641
core_broad,Innocent,596,0.024148130140593978
core_broad,Uncertain,19,0.0007698229407236335
core_broad,Not applicable,5,0.00020258498440095621
core_maybe,Hero/Warrior,6012,0.21445387743454378
core_maybe,Explorer/Seeker,4827,0.17218377684240566
core_maybe,Everyman/Orphan,3175,0.11325533281015909
core_maybe,Shadow/Antihero,2250,0.08025968466861667
core_maybe,Sage/Investigator,2124,0.07576514232717414
core_maybe,Rebel/Outlaw,1545,0.055111650139116786
core_maybe,Ruler/Leader,1531,0.05461225654562317
core_maybe,Jester/Trickster,1415,0.050474423913818935
core_maybe,Creator/Artist,1393,0.04968966255261468
core_maybe,Magician/Transformer,1175,0.041913390882499825
core_maybe,Lover,1045,0.03727616465720197
core_maybe,Caregiver/Guardian,715,0.025504744239138188
core_maybe,Innocent,679,0.024220589284440323
core_maybe,Uncertain,142,0.005065277876863808
core_maybe,Not applicable,6,0.00021402582578297782
review_pool,Not applicable,8585,0.260538375163121
review_pool,Uncertain,8377,0.2542259718976662
review_pool,Hero/Warrior,3020,0.09165123971958362
review_pool,Explorer/Seeker,2697,0.08184880580255531
review_pool,Everyman/Orphan,1844,0.055961882795666294
review_pool,Shadow/Antihero,1308,0.03969530515007132
review_pool,Ruler/Leader,1109,0.03365603471821796
review_pool,Sage/Investigator,1044,0.03168340869776334
review_pool,Jester/Trickster,1000,0.030348092622378683
review_pool,Creator/Artist,934,0.02834511850930169
review_pool,Rebel/Outlaw,866,0.02628144821097994
review_pool,Magician/Transformer,779,0.023641164152832995
review_pool,Lover,605,0.018360596036539105
review_pool,Innocent,409,0.012412369882552881
review_pool,Caregiver/Guardian,374,0.011350186640769628
