group,release_year,count
ANALYSIS_READY_12,1997,2
ANALYSIS_READY_12,1998,1
ANALYSIS_READY_12,1999,3
ANALYSIS_READY_12,2000,2
ANALYSIS_READY_12,2001,3
ANALYSIS_READY_12,2003,3
ANALYSIS_READY_12,2004,6
ANALYSIS_READY_12,2005,5
ANALYSIS_READY_12,2006,70
ANALYSIS_READY_12,2007,63
ANALYSIS_READY_12,2008,16
ANALYSIS_READY_12,2009,143
ANALYSIS_READY_12,2010,58
ANALYSIS_READY_12,2011,136
ANALYSIS_READY_12,2012,61
ANALYSIS_READY_12,2013,208
ANALYSIS_READY_12,2014,633
ANALYSIS_READY_12,2015,946
ANALYSIS_READY_12,2016,1360
ANALYSIS_READY_12,2017,1637
ANALYSIS_READY_12,2018,1888
ANALYSIS_READY_12,2019,1506
ANALYSIS_READY_12,2020,1732
ANALYSIS_READY_12,2021,1736
ANALYSIS_READY_12,2022,1636
ANALYSIS_READY_12,2023,1726
ANALYSIS_READY_12,2024,2106
ANALYSIS_READY_12,2025,970
ANALYSIS_READY_12,2026,92
ANALYSIS_READY_12,,31252
CORE_STRICT,1997,1
CORE_STRICT,1998,1
CORE_STRICT,1999,2
CORE_STRICT,2000,1
CORE_STRICT,2001,2
CORE_STRICT,2003,1
CORE_STRICT,2004,2
CORE_STRICT,2005,2
CORE_STRICT,2006,26
CORE_STRICT,2007,32
CORE_STRICT,2008,8
CORE_STRICT,2009,83
CORE_STRICT,2010,33
CORE_STRICT,2011,59
CORE_STRICT,2012,28
CORE_STRICT,2013,106
CORE_STRICT,2014,257
CORE_STRICT,2015,314
CORE_STRICT,2016,377
CORE_STRICT,2017,412
CORE_STRICT,2018,419
CORE_STRICT,2019,362
CORE_STRICT,2020,439
CORE_STRICT,2021,431
CORE_STRICT,2022,422
CORE_STRICT,2023,450
CORE_STRICT,2024,481
CORE_STRICT,2025,243
CORE_STRICT,2026,29
CORE_STRICT,,8336
CORE_BROAD,1997,1
CORE_BROAD,1998,1
CORE_BROAD,1999,2
CORE_BROAD,2000,1
CORE_BROAD,2001,2
CORE_BROAD,2003,1
CORE_BROAD,2004,2
CORE_BROAD,2005,4
CORE_BROAD,2006,38
CORE_BROAD,2007,39
CORE_BROAD,2008,11
CORE_BROAD,2009,108
CORE_BROAD,2010,39
CORE_BROAD,2011,77
CORE_BROAD,2012,37
CORE_BROAD,2013,128
CORE_BROAD,2014,390
CORE_BROAD,2015,539
CORE_BROAD,2016,737
CORE_BROAD,2017,823
CORE_BROAD,2018,841
CORE_BROAD,2019,710
CORE_BROAD,2020,795
CORE_BROAD,2021,784
CORE_BROAD,2022,812
CORE_BROAD,2023,871
CORE_BROAD,2024,970
CORE_BROAD,2025,476
CORE_BROAD,2026,51
CORE_BROAD,,15364
REVIEW_POOL,1997,1
REVIEW_POOL,2001,1
REVIEW_POOL,2003,2
REVIEW_POOL,2004,3
REVIEW_POOL,2005,3
REVIEW_POOL,2006,34
REVIEW_POOL,2007,25
REVIEW_POOL,2008,5
REVIEW_POOL,2009,47
REVIEW_POOL,2010,22
REVIEW_POOL,2011,61
REVIEW_POOL,2012,23
REVIEW_POOL,2013,77
REVIEW_POOL,2014,312
REVIEW_POOL,2015,532
REVIEW_POOL,2016,869
REVIEW_POOL,2017,1083
REVIEW_POOL,2018,1329
REVIEW_POOL,2019,1030
REVIEW_POOL,2020,1179
REVIEW_POOL,2021,1161
REVIEW_POOL,2022,1118
REVIEW_POOL,2023,1170
REVIEW_POOL,2024,1511
REVIEW_POOL,2025,676
REVIEW_POOL,2026,54
REVIEW_POOL,,20631
