custom_id,appid,name,broad_rank,total_ratings_pos_neg
steam-v002-appid-1091500,1091500,Cyberpunk 2077,1,844921
steam-v002-appid-292030,292030,The Witcher 3: Wild Hunt,2,835349
steam-v002-appid-1174180,1174180,Red Dead Redemption 2,3,733542
steam-v002-appid-620,620,Portal 2,4,433510
steam-v002-appid-367520,367520,Hollow Knight,5,415946
steam-v002-appid-1145360,1145360,Hades,6,279741
steam-v002-appid-391540,391540,Undertale,7,272932
steam-v002-appid-203160,203160,Tomb Raider Game of the Year,8,247930
steam-v002-appid-220,220,Half-Life 2,9,245627
steam-v002-appid-268910,268910,Cuphead,10,186835
steam-v002-appid-400,400,Portal,11,177741
steam-v002-appid-379430,379430,Kingdom Come: Deliverance,12,162206
steam-v002-appid-1593500,1593500,God of War,13,158017
steam-v002-appid-1332010,1332010,Stray,14,156607
steam-v002-appid-70,70,Half-Life,15,148221
steam-v002-appid-8870,8870,BioShock Infinite,16,140682
steam-v002-appid-524220,524220,NieR:Automata,17,140169
steam-v002-appid-1057090,1057090,Ori and the Will of the Wisps,18,136690
steam-v002-appid-391220,391220,Rise of the Tomb Raider,19,136180
steam-v002-appid-1151640,1151640,Horizon Zero Dawn Complete Edition,20,125197
steam-v002-appid-504230,504230,Celeste,21,120602
steam-v002-appid-1817070,1817070,Marvel’s Spider-Man Remastered,22,112392
steam-v002-appid-632470,632470,Disco Elysium - The Final Cut,23,111712
steam-v002-appid-1687950,1687950,Persona 5 Royal,24,103144
steam-v002-appid-1259420,1259420,Days Gone,25,103143
steam-v002-appid-1030840,1030840,Mafia: Definitive Edition,26,91793
steam-v002-appid-383870,383870,Firewatch,27,90438
steam-v002-appid-20920,20920,The Witcher 2: Assassins of Kings Enhanced Edition,28,87064
steam-v002-appid-205100,205100,Dishonored,29,82370
steam-v002-appid-1150690,1150690,OMORI,30,80237
steam-v002-appid-1888930,1888930,The Last of Us Part I,31,79855
steam-v002-appid-750920,750920,Shadow of the Tomb Raider: Definitive Edition,32,79443
steam-v002-appid-1113000,1113000,Persona 4 Golden,33,78346
steam-v002-appid-638970,638970,Yakuza 0,34,73481
steam-v002-appid-460950,460950,Katana ZERO,35,71069
steam-v002-appid-307690,307690,Sleeping Dogs: Definitive Edition,36,69029
steam-v002-appid-387290,387290,Ori and the Blind Forest: Definitive Edition,37,66979
steam-v002-appid-1145350,1145350,Hades II,38,64132
steam-v002-appid-403640,403640,Dishonored 2,39,62782
steam-v002-appid-409710,409710,BioShock Remastered,40,58263
steam-v002-appid-204100,204100,Max Payne 3,41,57076
steam-v002-appid-360430,360430,Mafia III: Definitive Edition,42,56508
steam-v002-appid-1328670,1328670,Mass Effect Legendary Edition,43,56328
steam-v002-appid-3240220,3240220,Grand Theft Auto V Enhanced,44,55881
steam-v002-appid-637650,637650,FINAL FANTASY XV WINDOWS EDITION,45,53688
steam-v002-appid-480490,480490,Prey,46,51033
steam-v002-appid-870780,870780,CONTROL Ultimate Edition,47,50448
steam-v002-appid-108710,108710,Alan Wake,48,49163
steam-v002-appid-972660,972660,Spiritfarer: Farewell Edition,49,46417
steam-v002-appid-282140,282140,SOMA,50,45365
