custom_id,appid,name,chunk_request_number,chunk_size,chunk_first_appid,chunk_last_appid
steam-v003-chunk-00001-rows-1-50,1091500,Cyberpunk 2077,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,292030,The Witcher 3: Wild Hunt,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1174180,Red Dead Redemption 2,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,620,Portal 2,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,367520,Hollow Knight,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1145360,Hades,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,391540,Undertale,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,203160,Tomb Raider Game of the Year,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,220,Half-Life 2,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,268910,Cuphead,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,400,Portal,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,379430,Kingdom Come: Deliverance,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1593500,God of War,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1332010,Stray,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,70,Half-Life,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,8870,BioShock Infinite,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,524220,NieR:Automata,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1057090,Ori and the Will of the Wisps,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,391220,Rise of the Tomb Raider,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1151640,Horizon Zero Dawn Complete Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,504230,Celeste,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1817070,Marvel’s Spider-Man Remastered,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,632470,Disco Elysium - The Final Cut,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1687950,Persona 5 Royal,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1259420,Days Gone,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1030840,Mafia: Definitive Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,383870,Firewatch,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,205100,Dishonored,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1150690,OMORI,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1888930,The Last of Us Part I,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,750920,Shadow of the Tomb Raider: Definitive Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1113000,Persona 4 Golden,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,638970,Yakuza 0,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,460950,Katana ZERO,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,307690,Sleeping Dogs: Definitive Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,387290,Ori and the Blind Forest: Definitive Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1145350,Hades II,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,403640,Dishonored 2,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,409710,BioShock Remastered,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,204100,Max Payne 3,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,360430,Mafia III: Definitive Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,1328670,Mass Effect Legendary Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,3240220,Grand Theft Auto V Enhanced,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,637650,FINAL FANTASY XV WINDOWS EDITION,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,480490,Prey,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,870780,CONTROL Ultimate Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,108710,Alan Wake,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,972660,Spiritfarer: Farewell Edition,1,50,1091500,282140
steam-v003-chunk-00001-rows-1-50,282140,SOMA,1,50,1091500,282140
