min_reactions,min_positive_ratio,unique_apps,percent_of_all_unique_apps,percent_of_apps_with_any_reactions,total_unique_apps_in_source,apps_with_any_reactions
1000,any,7503,0.042196964158169724,0.09183486126240804,177809,81701
1000,>=0.50,7311,0.0411171537998639,0.08948482882706454,177809,81701
1000,>=0.60,7024,0.03950306227468801,0.08597201992631669,177809,81701
1000,>=0.70,6387,0.035920566450517125,0.0781752977319739,177809,81701
1000,>=0.80,5057,0.02844063011433617,0.061896427216313145,177809,81701
2000,any,5089,0.02862059850738714,0.06228809928887039,177809,81701
2000,>=0.50,4971,0.027956965058011686,0.06084380852131553,177809,81701
2000,>=0.60,4792,0.026950266859382822,0.058652892865448406,177809,81701
2000,>=0.70,4415,0.024830014228751075,0.054038506260633286,177809,81701
2000,>=0.80,3601,0.020252068230517017,0.0440753479149582,177809,81701
5000,any,2831,0.01592157877272804,0.03465073866904934,177809,81701
5000,>=0.50,2773,0.015595386060323155,0.03394083303753932,177809,81701
5000,>=0.60,2683,0.015089224954867302,0.03283925533347205,177809,81701
5000,>=0.70,2503,0.014076902743955592,0.03063609992533751,177809,81701
5000,>=0.80,2110,0.011866665916798363,0.025825877284243768,177809,81701
10000,any,1752,0.00985326951954063,0.021444045972509516,177809,81701
10000,>=0.50,1719,0.009667677114206817,0.021040134147684852,177809,81701
10000,>=0.60,1672,0.009403348536913205,0.020464865791116386,177809,81701
10000,>=0.70,1576,0.008863443357760294,0.019289849573444633,177809,81701
10000,>=0.80,1339,0.007530552446726544,0.01638902828606749,177809,81701
