a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,split_label
730,n,Counter-Terrorists/Terrorists,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Competitive teams; no main protagonist,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
578080,n,Battle royale combatant,nop,3,NA,NA,NA,0,0,0,1,0,n,multi,False,g,Match avatar only,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
271590,y,"Michael, Franklin, Trevor",fen,3,REB,SHA,EVE,3,3,3,1,3,y,multi,False,g,Fixed criminal trio,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
105600,y,Player adventurer,pav,2,EXP,CRE,HER,2,1,0,3,1,m,none,False,g,Sandbox avatar with progression,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
359550,n,Operators,nop,3,NA,NA,NA,0,0,0,1,1,n,multi,False,g,"Hero roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
252490,y,Naked survivor,pav,2,EVE,REB,EXP,1,1,2,3,0,m,multi,False,g,Open survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
440,n,Mercenary classes,nop,3,NA,NA,NA,0,0,0,1,1,n,multi,False,g,Class roster comedy shooter,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
4000,n,User,nop,3,NA,NA,NA,0,0,0,3,0,n,nop,False,g,"Sandbox tool, no protagonist",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
2358720,y,Destined One,frs,3,HER,EXP,MAG,3,3,1,1,3,y,none,False,g,Mythic Wukong successor,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1245620,y,Tarnished,cbd,3,HER,EXP,MAG,3,3,2,3,3,y,none,False,g,Custom exiled demigod-seeker,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
553850,y,Helldiver,frs,2,HER,JES,RUL,2,1,1,2,1,m,multi,False,g,Satirical expendable soldier role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1172470,n,Legends,nop,3,NA,NA,NA,0,0,0,1,1,n,multi,False,g,Battle royale roster,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
550,y,Survivors,fen,3,EVE,HER,CAR,2,2,1,1,1,y,multi,False,g,Fixed zombie-survivor ensemble,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
431960,n,None,nop,3,NA,NA,NA,0,0,0,0,0,n,info,False,g,Wallpaper utility,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
413150,y,The Farmer,cbd,3,CRE,CAR,EXP,3,3,0,3,2,y,none,False,g,Custom farmer rebuilds community,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
227300,n,Truck driver,sim,3,NA,NA,NA,0,0,0,2,0,n,sim,False,g,Driving simulator role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1091500,y,V,cbd,3,SHA,REB,EXP,3,3,3,3,3,y,none,False,g,Custom mercenary with fixed arc,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
292030,y,Geralt of Rivia,fns,3,HER,SHA,CAR,3,3,2,1,3,y,none,False,g,Named monster hunter guardian,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
381210,n,Survivors and killers,nop,3,NA,NA,NA,0,0,0,1,1,n,multi,False,g,"Asymmetric roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
739630,y,Ghost investigator,frs,2,SAG,EXP,HER,2,1,0,2,0,m,multi,False,g,Co-op paranormal investigator role,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1086940,y,Player character,cbd,3,HER,EXP,MAG,2,3,2,3,3,y,none,False,g,Custom or origin hero,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
236390,n,Vehicle crew,sim,3,NA,NA,NA,0,0,0,1,0,n,sim,False,g,Vehicle combat simulator,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1174180,y,Arthur Morgan,fns,3,SHA,HER,EVE,3,3,3,1,3,y,none,False,g,Outlaw seeking redemption,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
346110,y,ARK survivor,pav,2,EXP,HER,CRE,2,1,1,3,1,m,multi,False,g,Custom survival sandbox avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
1938090,u,Task Force 141 soldiers,fen,1,HER,RUL,SHA,2,1,1,1,2,m,multi,True,g,Campaign ensemble within multiplayer hub,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55
