appid,llm5_has_clear_main_protagonist,llm5_protagonist_name,llm5_protagonist_type,llm5_protagonist_confidence_0_3,llm5_primary_archetype,llm5_secondary_archetype,llm5_tertiary_archetype,llm5_archetype_confidence_0_3,llm5_archetype_suitability_0_3,llm5_shadow_load_0_3,llm5_player_projection_0_3,llm5_narrative_complexity_0_3,llm5_suggested_include_in_final_corpus,llm5_exclusion_reason,llm5_needs_manual_review,llm5_evidence_basis,llm5_note,llm5_custom_id,llm5_split_label,llm5_model_used
730,no,Counter-Terrorists/Terrorists,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Competitive teams; no main protagonist,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
578080,no,Battle royale combatant,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Match avatar only,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
271590,yes,"Michael, Franklin, Trevor",fixed_ensemble,3,Rebel/Outlaw,Shadow/Antihero,Everyman/Orphan,3,3,3,1,3,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Fixed criminal trio,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
105600,yes,Player adventurer,player_avatar_weakly_defined,2,Explorer/Seeker,Creator/Artist,Hero/Warrior,2,1,0,3,1,maybe,none,False,general_knowledge,Sandbox avatar with progression,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
359550,no,Operators,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Hero roster, no main",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
252490,yes,Naked survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Rebel/Outlaw,Explorer/Seeker,1,1,2,3,0,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Open survival avatar,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
440,no,Mercenary classes,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Class roster comedy shooter,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
4000,no,User,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,3,0,no,no_clear_protagonist,False,general_knowledge,"Sandbox tool, no protagonist",steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
2358720,yes,Destined One,fixed_role_single,3,Hero/Warrior,Explorer/Seeker,Magician/Transformer,3,3,1,1,3,yes,none,False,general_knowledge,Mythic Wukong successor,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
1245620,yes,Tarnished,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Magician/Transformer,3,3,2,3,3,yes,none,False,general_knowledge,Custom exiled demigod-seeker,steam-v005-top1000-55-chunk-00001-ranks-1-50,top1000_55,gpt-5.5
