a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,part_no
2851620,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2856040,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2858860,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2859940,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2866800,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2869320,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2876860,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2881090,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2892830,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2897730,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2902550,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2916360,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2917480,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2918570,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2920120,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2920720,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,sim,True,m,Idle RPG unclear protagonist,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2921960,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2923430,n,NA,sys,2,NA,NA,NA,0,0,0,0,1,n,sys,False,g,"Multiplayer spider system, no protagonist",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2927290,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,"Title suggests duo, uncertain",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2927590,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2935160,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Romance title but unclear role,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2937440,y,n,spr,2,NA,NA,NA,0,0,0,2,1,n,spr,False,g,"Racing game, no protagonist",steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
2941750,u,UNC,unc,1,UNC,UNC,UNC,1,1,0,0,1,m,unk,True,m,Unknown from title only,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,10
