part_no,model,games,requests,first_selection_rank,last_selection_rank,input_jsonl,manifest_csv,batch_id_txt,status
1,gpt-5.4-mini,5000,100,1001,6000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_batch_id.txt,prepared
2,gpt-5.4-mini,5000,100,6001,11000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_002_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_002_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_002_batch_id.txt,prepared
3,gpt-5.4-mini,5000,100,11001,16000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_batch_id.txt,prepared
4,gpt-5.4-mini,5000,100,16001,21000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_004_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_004_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_004_batch_id.txt,prepared
5,gpt-5.4-mini,5000,100,21001,26000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_005_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_005_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_005_batch_id.txt,prepared
6,gpt-5.4-mini,5000,100,26001,31000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_006_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_006_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_006_batch_id.txt,prepared
7,gpt-5.4-mini,5000,100,31001,36000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_007_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_007_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_007_batch_id.txt,prepared
8,gpt-5.4-mini,5000,100,36001,41000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_008_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_008_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_008_batch_id.txt,prepared
9,gpt-5.4-mini,5000,100,41001,46000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_009_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_009_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_009_batch_id.txt,prepared
10,gpt-5.4-mini,4000,80,46001,50000,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_010_input.jsonl,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_010_manifest.csv,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_010_batch_id.txt,prepared
