selection_rank,appid,name,total_ratings_pos_neg,positive_ratio,steamspy_owners,v005_split,v005_model,llm6_model_used,corpus_label_12,is_core_strict_12,is_core_broad_12,is_core_maybe_12,is_review_pool_12,is_missing_llm_result,llm6_has_clear_main_protagonist,llm6_protagonist_name,llm6_protagonist_type,llm6_protagonist_confidence_0_3,primary_archetype_12,secondary_archetype_12,tertiary_archetype_12,primary_archetype_12_is_valid,original_shadow_antihero_present,original_primary_was_shadow_antihero,llm6_shadow_load_0_3,shadow_load_category,archetype_12_correction_method,llm6_primary_archetype,llm6_secondary_archetype,llm6_tertiary_archetype,llm6_archetype_confidence_0_3,llm6_archetype_suitability_0_3,llm6_player_projection_0_3,llm6_narrative_complexity_0_3,llm6_suggested_include_in_final_corpus,llm6_needs_manual_review,needs_manual_review_12,llm6_evidence_basis,llm6_exclusion_reason,llm6_note,rank_bin_5000,available_terms_for_later_inspection,control_protagonist,llm6_custom_id,llm6_split_label,llm6_part_no,llm6_source_output_file
1165,814540,Changed,17204,0.8681120669611718,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Therianthrope protagonist,fixed_named_single,2.0,Rebel/Outlaw,Explorer/Seeker,Uncertain,True,True,True,3.0,high,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Rebel/Outlaw,Explorer/Seeker,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Transformation horror lead,1-5000,,,steam-v006-rest54mini-part_001-chunk-0004-ranks-1151-1200,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1273,428690,Youtubers Life,15415,0.7735322737593253,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Player-created streamer,customizable_but_defined,2.0,Creator/Artist,Ruler/Leader,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Ruler/Leader,Everyman/Orphan,2.0,1.0,3.0,2.0,yes,False,False,general_knowledge,insufficient_information,Custom career and life sim.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0006-ranks-1251-1300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1276,1238820,Battlefield 3,15360,0.6997395833333333,"1,000,000 .. 2,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Soldier,fixed_named_single,2.0,Hero/Warrior,Ruler/Leader,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Hero/Warrior,Shadow/Antihero,Ruler/Leader,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Campaign soldier perspective.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0006-ranks-1251-1300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1296,872410,ROMANCE OF THE THREE KINGDOMS XIV,15111,0.6234531136258354,"1,000,000 .. 2,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Warrior-ruler,strategy_or_systemic_role,2.0,Ruler/Leader,Hero/Warrior,Sage/Investigator,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Hero/Warrior,Sage/Investigator,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,pure_strategy_or_systemic_role,Dynasty leadership strategy.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0006-ranks-1251-1300,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1302,2381590,Only Up,15037,0.7316619006450755,"500,000 .. 1,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Only Up,player_avatar_weakly_defined,2.0,Explorer/Seeker,Everyman/Orphan,Uncertain,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Everyman/Orphan,Not applicable,2.0,1.0,3.0,1.0,yes,False,False,general_knowledge,none,Anonymous climber seeking ascent.,1-5000,,,steam-v006-rest54mini-part_001-chunk-0007-ranks-1301-1350,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1855,2495450,Winter Memories,9173,0.9750354300664996,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,LOV,fixed_named_single,2.0,Lover,Everyman/Orphan,Caregiver/Guardian,True,False,False,0.0,none,original_primary_valid_12,Lover,Everyman/Orphan,Caregiver/Guardian,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,insufficient_information,Likely story-driven relationship sim,1-5000,,,steam-v006-rest54mini-part_001-chunk-0018-ranks-1851-1900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1868,422970,Devil Daggers,9068,0.9529113365681516,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,HER,player_avatar_weakly_defined,2.0,Hero/Warrior,Uncertain,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Hero/Warrior,Shadow/Antihero,Uncertain,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,insufficient_information,Arcade shooter avatar,1-5000,,,steam-v006-rest54mini-part_001-chunk-0018-ranks-1851-1900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1872,436520,Line of Sight,9055,0.5965764770844837,"2,000,000 .. 5,000,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,HER,fixed_named_single,2.0,Hero/Warrior,Sage/Investigator,Explorer/Seeker,True,False,False,1.0,low,original_primary_valid_12,Hero/Warrior,Sage/Investigator,Explorer/Seeker,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Tactical shooter protagonist,1-5000,,,steam-v006-rest54mini-part_001-chunk-0018-ranks-1851-1900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1889,351290,SURVIVAL: Postapocalypse Now,8889,0.5617054786815164,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,EVE,player_avatar_weakly_defined,2.0,Everyman/Orphan,Explorer/Seeker,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Everyman/Orphan,Shadow/Antihero,Explorer/Seeker,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,insufficient_information,Postapocalypse avatar survival,1-5000,,,steam-v006-rest54mini-part_001-chunk-0018-ranks-1851-1900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
1891,367580,Hook,8887,0.9696185439405872,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,EXP,player_avatar_weakly_defined,2.0,Explorer/Seeker,Sage/Investigator,Uncertain,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Uncertain,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,insufficient_information,Minimal climbing avatar,1-5000,,,steam-v006-rest54mini-part_001-chunk-0018-ranks-1851-1900,,1.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_001_output.jsonl
