group,metric,value
group_1_core_strict,rows,13359
group_1_core_strict,primary_archetype_12=Hero/Warrior,3462
group_1_core_strict,primary_archetype_12=Explorer/Seeker,2330
group_1_core_strict,primary_archetype_12=Everyman/Orphan,1599
group_1_core_strict,primary_archetype_12=Sage/Investigator,1211
group_1_core_strict,primary_archetype_12=Rebel/Outlaw,980
group_1_core_strict,primary_archetype_12=Ruler/Leader,800
group_1_core_strict,primary_archetype_12=Creator/Artist,600
group_1_core_strict,primary_archetype_12=Magician/Transformer,596
group_1_core_strict,primary_archetype_12=Jester/Trickster,589
group_1_core_strict,primary_archetype_12=Lover,505
group_1_core_strict,primary_archetype_12=Caregiver/Guardian,383
group_1_core_strict,primary_archetype_12=Innocent,304
group_1_core_strict,llm6_model_used=gpt-5.4-mini,12944
group_1_core_strict,llm6_model_used=gpt-5.5,415
group_1_core_strict,llm6_has_clear_main_protagonist=yes,13359
group_1_core_strict,llm6_suggested_include_in_final_corpus=yes,13359
group_1_core_strict,shadow_load_category=none,8078
group_1_core_strict,shadow_load_category=low,3280
group_1_core_strict,shadow_load_category=medium,1574
group_1_core_strict,shadow_load_category=high,427
group_1_core_strict,rank_bin_5000=1-5000,2692
group_1_core_strict,rank_bin_5000=5001-10000,2489
group_1_core_strict,rank_bin_5000=10001-15000,1942
group_1_core_strict,rank_bin_5000=15001-20000,1640
group_1_core_strict,rank_bin_5000=20001-25000,1288
group_1_core_strict,rank_bin_5000=25001-30000,983
group_1_core_strict,rank_bin_5000=30001-35000,840
group_1_core_strict,rank_bin_5000=35001-40000,629
group_1_core_strict,rank_bin_5000=40001-45000,473
group_1_core_strict,rank_bin_5000=45001-50000,383
group_2_core_broad,rows,24654
group_2_core_broad,primary_archetype_12=Hero/Warrior,6004
group_2_core_broad,primary_archetype_12=Explorer/Seeker,4429
group_2_core_broad,primary_archetype_12=Everyman/Orphan,3112
group_2_core_broad,primary_archetype_12=Sage/Investigator,1974
group_2_core_broad,primary_archetype_12=Rebel/Outlaw,1750
group_2_core_broad,primary_archetype_12=Ruler/Leader,1406
group_2_core_broad,primary_archetype_12=Jester/Trickster,1291
group_2_core_broad,primary_archetype_12=Magician/Transformer,1240
group_2_core_broad,primary_archetype_12=Creator/Artist,1236
group_2_core_broad,primary_archetype_12=Lover,940
group_2_core_broad,primary_archetype_12=Caregiver/Guardian,675
group_2_core_broad,primary_archetype_12=Innocent,597
group_2_core_broad,llm6_model_used=gpt-5.4-mini,24237
group_2_core_broad,llm6_model_used=gpt-5.5,417
group_2_core_broad,llm6_has_clear_main_protagonist=yes,24654
group_2_core_broad,llm6_suggested_include_in_final_corpus=yes,24654
group_2_core_broad,shadow_load_category=none,15928
group_2_core_broad,shadow_load_category=low,5615
group_2_core_broad,shadow_load_category=medium,2568
group_2_core_broad,shadow_load_category=high,543
group_2_core_broad,rank_bin_5000=5001-10000,3477
group_2_core_broad,rank_bin_5000=1-5000,3236
group_2_core_broad,rank_bin_5000=10001-15000,3114
group_2_core_broad,rank_bin_5000=15001-20000,2881
group_2_core_broad,rank_bin_5000=20001-25000,2582
group_2_core_broad,rank_bin_5000=25001-30000,2380
group_2_core_broad,rank_bin_5000=30001-35000,2061
group_2_core_broad,rank_bin_5000=35001-40000,1855
group_2_core_broad,rank_bin_5000=40001-45000,1669
group_2_core_broad,rank_bin_5000=45001-50000,1399
group_3_review_pool,rows,32959
group_3_review_pool,primary_archetype_12=Not applicable,8592
group_3_review_pool,primary_archetype_12=Uncertain,8431
group_3_review_pool,primary_archetype_12=Hero/Warrior,3320
group_3_review_pool,primary_archetype_12=Explorer/Seeker,2818
group_3_review_pool,primary_archetype_12=Everyman/Orphan,2087
group_3_review_pool,primary_archetype_12=Rebel/Outlaw,1124
group_3_review_pool,primary_archetype_12=Ruler/Leader,1113
group_3_review_pool,primary_archetype_12=Sage/Investigator,1085
group_3_review_pool,primary_archetype_12=Jester/Trickster,1051
group_3_review_pool,primary_archetype_12=Magician/Transformer,989
group_3_review_pool,primary_archetype_12=Creator/Artist,934
group_3_review_pool,primary_archetype_12=Lover,626
group_3_review_pool,primary_archetype_12=Innocent,409
group_3_review_pool,primary_archetype_12=Caregiver/Guardian,380
group_3_review_pool,llm6_model_used=gpt-5.4-mini,32558
group_3_review_pool,llm6_model_used=gpt-5.5,401
group_3_review_pool,llm6_has_clear_main_protagonist=yes,14737
group_3_review_pool,llm6_has_clear_main_protagonist=uncertain,9547
group_3_review_pool,llm6_has_clear_main_protagonist=no,8675
group_3_review_pool,llm6_suggested_include_in_final_corpus=no,11775
group_3_review_pool,llm6_suggested_include_in_final_corpus=maybe,10945
group_3_review_pool,llm6_suggested_include_in_final_corpus=yes,10239
group_3_review_pool,shadow_load_category=none,27671
group_3_review_pool,shadow_load_category=low,3738
group_3_review_pool,shadow_load_category=medium,1395
group_3_review_pool,shadow_load_category=high,155
group_3_review_pool,rank_bin_5000=45001-50000,4474
group_3_review_pool,rank_bin_5000=40001-45000,4349
group_3_review_pool,rank_bin_5000=35001-40000,4113
group_3_review_pool,rank_bin_5000=30001-35000,3928
group_3_review_pool,rank_bin_5000=25001-30000,3717
group_3_review_pool,rank_bin_5000=20001-25000,3303
group_3_review_pool,rank_bin_5000=15001-20000,2716
group_3_review_pool,rank_bin_5000=10001-15000,2538
group_3_review_pool,rank_bin_5000=5001-10000,2022
group_3_review_pool,rank_bin_5000=1-5000,1799
exclusive_group_1_core_strict,rows,13359
exclusive_group_1_core_strict,primary_archetype_12=Hero/Warrior,3462
exclusive_group_1_core_strict,primary_archetype_12=Explorer/Seeker,2330
