source,release_year_label,count,share
ANALYSIS_READY_12,1997,2,4e-05
ANALYSIS_READY_12,1998,1,2e-05
ANALYSIS_READY_12,1999,3,6e-05
ANALYSIS_READY_12,2000,2,4e-05
ANALYSIS_READY_12,2001,3,6e-05
ANALYSIS_READY_12,2003,3,6e-05
ANALYSIS_READY_12,2004,6,0.00012
ANALYSIS_READY_12,2005,5,0.0001
ANALYSIS_READY_12,2006,70,0.0014
ANALYSIS_READY_12,2007,63,0.00126
ANALYSIS_READY_12,2008,16,0.00032
ANALYSIS_READY_12,2009,143,0.00286
ANALYSIS_READY_12,2010,58,0.00116
ANALYSIS_READY_12,2011,136,0.00272
ANALYSIS_READY_12,2012,61,0.00122
ANALYSIS_READY_12,2013,208,0.00416
ANALYSIS_READY_12,2014,633,0.01266
ANALYSIS_READY_12,2015,946,0.01892
ANALYSIS_READY_12,2016,1360,0.0272
ANALYSIS_READY_12,2017,1637,0.03274
ANALYSIS_READY_12,2018,1888,0.03776
ANALYSIS_READY_12,2019,1506,0.03012
ANALYSIS_READY_12,2020,1732,0.03464
ANALYSIS_READY_12,2021,1736,0.03472
ANALYSIS_READY_12,2022,1636,0.03272
ANALYSIS_READY_12,2023,1726,0.03452
ANALYSIS_READY_12,2024,2106,0.04212
ANALYSIS_READY_12,2025,970,0.0194
ANALYSIS_READY_12,2026,92,0.00184
ANALYSIS_READY_12,<missing>,31252,0.62504
