period,Innocent,Everyman/Orphan,Hero/Warrior,Caregiver/Guardian,Explorer/Seeker,Rebel/Outlaw,Lover,Creator/Artist,Jester/Trickster,Sage/Investigator,Magician/Transformer,Ruler/Leader
1970--1974,3.508771929824561,7.719298245614035,40.70175438596491,2.1052631578947367,25.964912280701753,1.0526315789473684,0.0,4.2105263157894735,0.0,6.31578947368421,4.2105263157894735,4.2105263157894735
1975--1979,1.9515079834417506,6.623299822590183,41.218214074512126,3.3707865168539324,22.47191011235955,1.4192785334121822,0.5322294500295682,8.042578356002366,0.0,6.564163217031342,4.730928444707274,3.075103489059728
1980--1984,0.6892230576441101,5.419799498746867,40.472274436090224,3.943452380952381,21.67919799498747,1.6251566416040097,0.7518796992481201,4.209743107769423,0.43468045112781944,9.351503759398494,6.551535087719297,4.871553884711778
1985--1989,0.7680825078029584,4.825620844076537,36.98195141810287,3.381734292305605,24.65192020626951,1.8862803636857106,1.6962952910842721,3.4685846112091197,1.1453385805401004,8.742027412131904,6.687474555570634,5.764689917220791
1990--1994,1.6033404432233107,4.6401070098694905,36.099562561006465,3.602545099598712,24.151332200571197,1.6810672065362784,1.767831965583312,3.45432196956003,2.152850583854524,7.499728860127977,7.525035248183362,5.8222768518853245
1995--1999,2.1441862847192583,5.1965788620106865,28.85091418133397,3.7540331529439883,26.50528364375096,2.1561363675162606,2.7946122198132373,4.336172900626526,2.277344350171569,9.631766734383802,6.702289294432968,5.650682008296772
2000--2004,1.9981791925660826,5.752809694229923,30.653921014629244,3.6416148678344946,27.14729704275758,2.3827462799020522,3.1079299303070256,3.3622151064230548,2.495761913731399,7.998995416588181,6.192314936899603,5.266214604131348
2005--2009,1.9162386408534178,5.979966067817882,28.822599762939554,3.4257559207009556,26.350895949055243,2.82961861156948,4.110209868222279,3.901038882562112,3.0562205127013273,9.115206730657494,5.219978153252609,5.27227089966765
2010--2014,1.7227908128137883,7.898380870601159,25.197459521765026,2.87544384877811,26.623190760209486,3.7635282013197493,4.8055574895371596,4.287250419674008,3.208862277302018,8.932674232402702,5.435261899788809,5.249599665807978
2015--2019,1.9767293783152322,9.723034380953125,22.27601961655712,2.6890900443633585,27.674211296413247,5.383118013810598,3.7850495221907763,4.162670845710633,3.9981599731792703,7.597647468533723,5.814016950077577,4.9202525098953425
2020--2024,1.687684343586348,10.506230060795762,22.16983687473665,2.9615361463913805,31.60988382591946,3.989797146812737,3.9196713417203393,3.872419189791127,2.7756877144404983,7.238457834226207,4.911966532233793,4.356828989345693
