population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,blend_equal_log,1980s,Caregiver/Guardian,3.5073677708689486
all_rows_missing_visibility_equal,blend_equal_log,1980s,Creator/Artist,3.7303564288113313
all_rows_missing_visibility_equal,blend_equal_log,1980s,Everyman/Orphan,5.2146821942185015
all_rows_missing_visibility_equal,blend_equal_log,1980s,Explorer/Seeker,23.300202806463947
all_rows_missing_visibility_equal,blend_equal_log,1980s,Hero/Warrior,38.48802034549015
all_rows_missing_visibility_equal,blend_equal_log,1980s,Innocent,0.7042186476660791
all_rows_missing_visibility_equal,blend_equal_log,1980s,Jester/Trickster,0.8447102738506087
all_rows_missing_visibility_equal,blend_equal_log,1980s,Lover,1.1259334652633477
all_rows_missing_visibility_equal,blend_equal_log,1980s,Magician/Transformer,6.701138990076084
all_rows_missing_visibility_equal,blend_equal_log,1980s,Rebel/Outlaw,1.7181057608199661
all_rows_missing_visibility_equal,blend_equal_log,1980s,Ruler/Leader,5.340822788733
all_rows_missing_visibility_equal,blend_equal_log,1980s,Sage/Investigator,9.385626244146135
all_rows_missing_visibility_equal,blend_equal_log,1980s,Uncertain,0.23285310976959012
all_rows_missing_visibility_equal,blend_equal_log,1990s,Caregiver/Guardian,3.5866663024533345
all_rows_missing_visibility_equal,blend_equal_log,1990s,Creator/Artist,3.7700759965723996
all_rows_missing_visibility_equal,blend_equal_log,1990s,Everyman/Orphan,5.0557624050169085
all_rows_missing_visibility_equal,blend_equal_log,1990s,Explorer/Seeker,25.21332420013263
all_rows_missing_visibility_equal,blend_equal_log,1990s,Hero/Warrior,32.33974790462383
all_rows_missing_visibility_equal,blend_equal_log,1990s,Innocent,1.8832030730011364
all_rows_missing_visibility_equal,blend_equal_log,1990s,Jester/Trickster,2.2997100270084023
all_rows_missing_visibility_equal,blend_equal_log,1990s,Lover,2.239342300397886
all_rows_missing_visibility_equal,blend_equal_log,1990s,Magician/Transformer,7.001920335590242
all_rows_missing_visibility_equal,blend_equal_log,1990s,Rebel/Outlaw,2.045910230957659
all_rows_missing_visibility_equal,blend_equal_log,1990s,Ruler/Leader,5.679056789227539
all_rows_missing_visibility_equal,blend_equal_log,1990s,Sage/Investigator,8.58334502420991
all_rows_missing_visibility_equal,blend_equal_log,1990s,Uncertain,0.3354837897868048
all_rows_missing_visibility_equal,blend_equal_log,2000s,Caregiver/Guardian,3.357104198151312
all_rows_missing_visibility_equal,blend_equal_log,2000s,Creator/Artist,3.463501541401218
all_rows_missing_visibility_equal,blend_equal_log,2000s,Everyman/Orphan,5.959526358537817
all_rows_missing_visibility_equal,blend_equal_log,2000s,Explorer/Seeker,26.099012165036676
