population,scheme,period_start,period_label,archetype,share_pct
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Caregiver/Guardian,6.315789473684211
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Creator/Artist,21.703134240094617
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Everyman/Orphan,11.727713287501409
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Explorer/Seeker,28.975951113739402
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Hero/Warrior,43.383604935395056
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Innocent,11.270145384875464
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Magician/Transformer,12.63157894736842
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Rebel/Outlaw,5.913660555884093
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Ruler/Leader,12.631578947368423
all_rows_missing_visibility_equal,blend_equal_log,1970,1970–1974,Sage/Investigator,8.763521536319205
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Caregiver/Guardian,3.3762213306908615
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Creator/Artist,9.922909130819908
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Everyman/Orphan,6.120031479846849
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Explorer/Seeker,24.730944041602168
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Hero/Warrior,41.908679224692165
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Innocent,3.274110965728599
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Lover,1.3662653894615395
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Magician/Transformer,4.075812378644835
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Rebel/Outlaw,3.3237922384265715
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Ruler/Leader,4.403971171403826
all_rows_missing_visibility_equal,blend_equal_log,1975,1975–1979,Sage/Investigator,6.219508170799365
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Caregiver/Guardian,3.6386578482765684
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Creator/Artist,4.1291703572044165
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Everyman/Orphan,5.549289813262047
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Explorer/Seeker,21.715564984186006
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Hero/Warrior,40.23025407402673
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Innocent,0.6403739510543762
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Jester/Trickster,0.4039981067725359
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Lover,0.546046973776497
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Magician/Transformer,6.801161010044406
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Rebel/Outlaw,1.5487372264569483
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Ruler/Leader,5.115300216694743
all_rows_missing_visibility_equal,blend_equal_log,1980,1980–1984,Sage/Investigator,9.762245059599227
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Caregiver/Guardian,3.376077693461329
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Creator/Artist,3.331542500418247
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Everyman/Orphan,4.880074575174956
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Explorer/Seeker,24.884840628741888
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Hero/Warrior,36.745786616953566
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Innocent,0.768063344277782
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Jester/Trickster,1.197280007513067
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Lover,1.7058199567501984
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Magician/Transformer,6.601116970107762
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Rebel/Outlaw,1.8874742951829837
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Ruler/Leader,5.5663453607712565
all_rows_missing_visibility_equal,blend_equal_log,1985,1985–1989,Sage/Investigator,9.00900742869304
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Caregiver/Guardian,3.5285775157847445
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Creator/Artist,3.339506256021083
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Everyman/Orphan,4.768561365391559
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Explorer/Seeker,24.192979833211805
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Hero/Warrior,36.05728153918453
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Innocent,1.5816015585328045
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Jester/Trickster,2.189960936103513
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Lover,1.7263677911886142
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Magician/Transformer,7.46476307132711
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Rebel/Outlaw,1.7169408666569517
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Ruler/Leader,5.773811465072022
all_rows_missing_visibility_equal,blend_equal_log,1990,1990–1994,Sage/Investigator,7.507982600224078
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Caregiver/Guardian,3.644755089121925
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Creator/Artist,4.200645737123716
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Everyman/Orphan,5.3429634446422565
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Explorer/Seeker,26.233668567053456
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Hero/Warrior,28.622214270063125
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Innocent,2.184804587469469
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Jester/Trickster,2.409459117913291
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Lover,2.7523168096071573
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Magician/Transformer,6.539077599853374
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Rebel/Outlaw,2.374879595258366
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Ruler/Leader,5.584302113383058
all_rows_missing_visibility_equal,blend_equal_log,1995,1995–1999,Sage/Investigator,9.658707448195742
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Caregiver/Guardian,3.4648942688213453
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Creator/Artist,3.2078023185612587
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Everyman/Orphan,5.7734543193884065
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Explorer/Seeker,26.70523376506305
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Hero/Warrior,30.069005385634124
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Innocent,2.0121810864629417
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Jester/Trickster,2.5885685863081687
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Lover,3.036836622802709
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Magician/Transformer,6.090822273396492
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Rebel/Outlaw,2.8722083436496395
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Ruler/Leader,5.353886063492781
all_rows_missing_visibility_equal,blend_equal_log,2000,2000–2004,Sage/Investigator,8.144061087258036
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Caregiver/Guardian,3.249314127481278
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Creator/Artist,3.7192007642411773
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Everyman/Orphan,6.145598397687228
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Explorer/Seeker,25.492790565010303
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Hero/Warrior,28.624994371406018
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Innocent,1.8276921075997508
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Jester/Trickster,3.242765145611447
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Lover,3.741301563610905
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Magician/Transformer,5.070479700568027
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Rebel/Outlaw,3.3307076048000868
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Ruler/Leader,5.42133229858634
all_rows_missing_visibility_equal,blend_equal_log,2005,2005–2009,Sage/Investigator,9.115199863130655
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Caregiver/Guardian,2.73876597767559
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Creator/Artist,4.244542432915461
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Everyman/Orphan,7.947414231715067
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Explorer/Seeker,24.863738031460883
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Hero/Warrior,24.731919554489764
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Innocent,1.8188667601608806
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Jester/Trickster,3.6786057975483795
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Lover,4.364147442622767
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Magician/Transformer,5.217785504340695
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Rebel/Outlaw,4.4222814078715045
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Ruler/Leader,5.265520498207261
all_rows_missing_visibility_equal,blend_equal_log,2010,2010–2014,Sage/Investigator,8.818737469813652
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Caregiver/Guardian,2.5170096584537056
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Creator/Artist,4.2032637760190115
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Everyman/Orphan,9.926767035911528
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Explorer/Seeker,24.660682222269948
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Hero/Warrior,20.915041920013117
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Innocent,2.0482164182121716
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Jester/Trickster,4.579514243782071
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Lover,3.5939239505434086
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Magician/Transformer,5.611816228954082
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Rebel/Outlaw,5.940674697577624
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Ruler/Leader,4.9843441332938285
all_rows_missing_visibility_equal,blend_equal_log,2015,2015–2019,Sage/Investigator,7.491297719825553
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Caregiver/Guardian,2.901336906187235
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Creator/Artist,4.059527254361276
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Everyman/Orphan,10.65926808298059
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Explorer/Seeker,28.847018728234325
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Hero/Warrior,21.061419810614126
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Innocent,1.8273848460616668
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Jester/Trickster,3.2384384998815046
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Lover,3.8421667854172057
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Magician/Transformer,4.901043239265065
all_rows_missing_visibility_equal,blend_equal_log,2020,2020–2024,Rebel/Outlaw,4.5297355805412
