igdb_id,name,original_release_year,genres,themes,game_modes,visibility_count_score,rating_count,total_rating_count,summary,storyline,llm6_protagonist_name,llm6_protagonist_type,primary_archetype_12,secondary_archetype_12,tertiary_archetype_12,llm6_protagonist_confidence_0_3,llm6_archetype_confidence_0_3,llm6_needs_manual_review,llm6_evidence_basis,llm6_note
1009,The Last of Us,2013,Adventure | Shooter,Action | Horror | Stealth | Survival,Multiplayer | Single player,10459.0,3469.0,3482.0,"The Last of Us is a third-person action-adventure game featuring a mix of exploration, stealth and combat. Players face both infected creatures and hostile human enemies while progressing through varied environments. The game includes a narrative-driven single-player campaign and a competitive online multiplayer mode called Factions. Trophy support is included, and additional downloadable content was made available separately.","Twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen-year-old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors.",Joel and Ellie,fixed_dual,Caregiver/Guardian,Everyman/Orphan,Hero/Warrior,3,3,False,general_knowledge,Joel protects Ellie; dual narrative focus.
7346,The Legend of Zelda: Breath of the Wild,2017,Adventure | Puzzle,Action | Fantasy | Open world | Sandbox | Science fiction,Single player,8763.0,2885.0,2912.0,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.","Link is awakened in a room by a voice calling him and learns that he has been asleep for 100 years after failing to stop a monster called Calamity Ganon. Although the monster is being held in Hyrule Castle by Princess Zelda, Calamity Ganon's power continues to grow and if not stopped he will eventually break free with enough power to destroy the entire world. Link embarks on his quest to defeat Calamity Ganon and save Hyrule and Zelda.",Link,fixed_named_single,Hero/Warrior,Explorer/Seeker,Innocent,3,3,False,general_knowledge,Zelda mainline lead.
7331,Uncharted 4: A Thief's End,2016,Adventure | Shooter,Action | Fantasy | Historical | Stealth,Multiplayer | Single player,7819.0,2573.0,2598.0,"Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves.","Several years after his last adventure, Nathan Drake has retired from fortune hunting and settled into a quiet life with his wife Elena. When his long-lost brother Sam, presumed dead for fifteen years, reappears claiming he needs help finding the treasure of pirate Henry Avery to pay off a dangerous debt, Nate is pulled back into his old life.

Aided by longtime partner Sully, the Drake brothers follow a trail of clues from Italy to Madagascar and Scotland, pursued by wealthy rival treasure hunter Rafe Adler and his private military force. The search leads them toward Libertalia, a legendary pirate colony, where Nate must confront the cost of obsession and decide what he is willing to sacrifice for one last score.",Nathan Drake,fixed_named_single,Explorer/Seeker,Jester/Trickster,Rebel/Outlaw,3,3,False,general_knowledge,Treasure-hunter adventure lead.
11156,Horizon Zero Dawn,2017,Adventure | Role-playing (RPG) | Shooter,Action | Drama | Open world | Science fiction | Stealth,Single player,7241.0,2379.0,2405.0,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.","In a far-future world where primitive human tribes coexist with enormous robotic machines, a young outcast named Aloy sets out to uncover the truth behind her mysterious origins. Raised in exile from the Nora tribe, she ventures beyond her homeland into a vast and dangerous land, seeking answers about her past and the ancient civilisation whose ruins litter the landscape.",Aloy,fixed_named_single,Explorer/Seeker,Hero/Warrior,Sage/Investigator,3,3,False,general_knowledge,Aloy investigates her origins and the world.
565,Uncharted 2: Among Thieves,2009,Adventure | Platform | Shooter,Action | Fantasy | Historical,Co-operative | Multiplayer | Single player,6608.0,2192.0,2200.0,"In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it.","Two years after the events of the first game, treasure hunter Nathan Drake (Nolan North) is approached by former associate Harry Flynn (Steve Valentine) and Flynn's girlfriend Chloe Frazer (Claudia Black) to help steal a Mongolian oil lamp connected to Marco Polo's doomed 1292 voyage from China. The group plans to cheat Flynn's client and take Polo's treasure for themselves. Unbeknownst to Flynn, Chloe and Nate had worked together before, and Chloe plans on blackmailing Flynn and escaping with Nate and whatever treasure they find.

Nate and Flynn break into a museum in Istanbul and find the lamp, which contains a map and flammable resin that reveals Polo's fleet was shipwrecked in Borneo, and was carrying the Cintamani Stone from the fabled city of Shambhala. Flynn double-crosses Nate, leaving him to be arrested.

Three months later, Chloe helps free Nate with his longtime friend Victor Sullivan (Richard McGonagle). She reveals that Flynn is working for Zoran Lazarević (Graham McTavish), a Serbian war criminal seeking the stone. In Borneo, Nate and Sully infiltrate Lazarević's camp, with Chloe as a mole. Nate discovers that the stone never left Shambhala, and locates a temple containing the bodies of Polo's crew, as well as a phurba and map detailing that its carrier will gain passage to Shambhala through a temple in Nepal. Nate and Sully escape after being cornered by Flynn and his men.",Nathan Drake,fixed_named_single,Explorer/Seeker,Jester/Trickster,Rebel/Outlaw,3,3,False,general_knowledge,Treasure-hunter adventure lead.
1029,The Legend of Zelda: Ocarina of Time,1998,Adventure | Puzzle,Action | Fantasy | Open world | Sandbox,Single player,6336.0,2112.0,2112.0,"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.","A young boy named Link was raised in the village of the elf-like Kokiri people. One day a fairy named Navi introduces him to the village's guardian, the Great Deku Tree. It appears that a mysterious man has cursed the tree, and Link is sent to the Hyrule Castle to find out more. Princess Zelda tells Link that Ganondorf, the leader of the Gerudo tribe, seeks to obtain the Triforce, a holy relic that grants immense power to the one who possesses it. Link must do everything in his power to obtain the Triforce before Ganondorf does, and save Hyrule.",Link,fixed_named_single,Hero/Warrior,Explorer/Seeker,Innocent,3,3,False,general_knowledge,Zelda mainline lead.
121,Minecraft: Java Edition,2011,Adventure | Simulator,Fantasy | Kids | Open world | Sandbox | Survival,Co-operative | Massively Multiplayer Online (MMO) | Multiplayer | Single player | Split screen,6140.0,2028.0,2042.0,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.","Minecraft: Java Edition (previously known as Minecraft) is the original version of Minecraft, developed by Mojang Studios for Windows, macOS, and Linux. Notch began development on May 10, 2009, publicly releasing Minecraft on May 17, 2009. The full release of the game was on November 18, 2011, at MINECON 2011.",Player avatar / Steve or Alex,player_avatar_weakly_defined,Creator/Artist,Explorer/Seeker,Hero/Warrior,3,3,False,general_knowledge,Sandbox avatar; Steve/Alex are default player representations.
1074,Super Mario 64,1996,Adventure | Platform,Action | Fantasy | Open world,Single player,6115.0,2037.0,2038.0,"Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive soundtrack, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses, and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch-nemesis— Bowser, King of the Koopas!

• Run freely in a grassy meadow, tip-toe through a gloomy dungeon, climb to the top of a mountain, or take a swim in the moat!
• Leap headfirst into a watery painting and soon you'll be searching for the surface in an underwater realm!
• On-the-fly, 3-D rendered gameplay delivers the action of ruthless enemy attacks from every angle!
• Find the Caps that give Mario super powers and ponder the mysteries of the pyramid; you can even race Koopas for fabulous prizes!
• With the Nintendo 64 Controller and its analog
Control Stick, Mario can crawl, kick down obstacles, swim, do reverse flips, and even stick the landing on his backwards somersault!
• Saved game information is stored for up to four players in memory.","On a bright, sunny day in the Mushroom Kingdom, Mario goes to visit the princess but finds her castle eerily empty. Leaping through pictures hanging from the walls, he enters 15 magical worlds in a quest to collect the 120 Power Stars pilfered by evil Bowser and save the day. The game's vast worlds teem with daunting obstacle courses, hidden items, puzzles, and more than 30 types of enemies. Take advantage of Mario's large selection of moves, including running, jumping, swimming, stomping, punching, and even backward somersaulting! Special caps give him short-lived powers, including the ability to fly.",Mario,fixed_named_single,Hero/Warrior,Innocent,Jester/Trickster,3,3,False,general_knowledge,Mario platform/adventure lead.
1070,Super Mario World,1990,Adventure | Platform,Action | Fantasy,Multiplayer | Single player,5968.0,1988.0,1989.0,"A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.","Mario is having a vacation in Dinosaur Land when he learns that Princess Peach Toadstool has been kidnapped by the evil King Koopa Bowser. When Mario starts searching for her he finds a giant egg with a dinosaur named Yoshi hatching out of it. Yoshi tells Mario that his fellow dinosaurs have been imprisoned in eggs by Bowser's underlings. The intrepid plumber has to travel to their castles, rescue the dinosaurs, and eventually face King Koopa himself, forcing him to release the princess.",Mario,fixed_named_single,Hero/Warrior,Innocent,Jester/Trickster,3,3,False,general_knowledge,Mario platform/adventure lead.
26758,Super Mario Odyssey,2017,Adventure | Platform,Action | Fantasy | Open world | Sandbox,Co-operative | Single player,5543.0,1825.0,1842.0,"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!","Bowser has kidnapped Princess Peach once again, but this time, he plans to force her into a royal wedding! Mario sets off on a globe-trotting adventure beyond the Mushroom Kingdom, teaming up with Cappy, a mysterious hat-shaped spirit from the Cap Kingdom whose sister Tiara was also taken by Bowser.

Together, they travel across vast and colorful kingdoms aboard the airship Odyssey, collecting Power Moons to fuel their journey. Using Cappy’s powers, Mario can “capture” enemies, objects, and creatures to gain their abilities, from a Goomba stack to a mighty T-Rex.

From the bustling streets of New Donk City to the frozen peaks of the Snow Kingdom, Mario and Cappy must chase Bowser across the world to stop his forced wedding and rescue Peach and Tiara before it’s too late.",Mario,fixed_named_single,Hero/Warrior,Innocent,Jester/Trickster,3,3,False,general_knowledge,Mario platform/adventure lead.
