appid,name_from_app_list,absolute_index,details_from_cache,steamspy_from_cache,forced_include,bucket,matched_terms,relevance_score,steamspy_tags,steam_type,steam_name,is_free,required_age,release_date_coming_soon,steam_release_date,developers,publishers,steam_genres,steam_categories,platform_windows,platform_mac,platform_linux,metacritic_score,recommendations_total,short_description,header_image,website,support_url,support_email,steamspy_owners,steamspy_median_forever,steamspy_average_forever,total_reviews,total_positive,total_negative,total_ratings_pos_neg,positive_ratio,review_score,review_score_desc,reviews_from_cache,include_in_corpus,exclusion_reason,original_release_year,original_release_decade,game_series,protagonist,protagonist_type,protagonist_gender,primary_archetype,secondary_archetype,shadow_load_0_3,player_projection_0_3,narrative_complexity_0_3,corpus_notes,coding_source,review_error,run_id,run_start_index,run_scan_limit,scanned_at_utc,player_shaped_arc,ensemble_archetypes,llm_primary_archetype_suggestion,llm_secondary_archetype_suggestion,llm_shadow_load_suggestion,human_validation_primary_mode,human_validation_secondary_mode,human_validation_agreement_score,human_validation_votes_json
730,Counter-Strike 2,21,True,True,False,systemic/player-role,"Action, FPS, First-Person, Shooter, Strategy, Tactical, e-sports",6,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, e-sports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",game,Counter-Strike 2,True,0,False,"Aug 21, 2012",Valve,Valve,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline",True,False,True,,5125847,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/162664aa5da85f418105350c5d67ca565f6c3713/header.jpg?t=1780435263,http://counter-strike.net/,,,"100,000,000 .. 200,000,000",0,0,9658920,8318080,1340840,9658920,0.8611811672526535,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:05:16.344712+00:00,,,,,,,,,
570,Dota 2,18,True,True,False,RPG/character progression,"Action, Action RPG, Character Customization, RPG, RTS, Simulation, Strategy, e-sports",14,"Free to Play, MOBA, Multiplayer, Strategy, e-sports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",game,Dota 2,True,0,False,"Jul 9, 2013",Valve,Valve,"Action, Strategy, Free To Play","Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Valve Anti-Cheat enabled, Steam Timeline",True,True,True,90,14375,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/header.jpg?t=1769535998,http://www.dota2.com/,,,"100,000,000 .. 200,000,000",0,0,2722890,2198889,524001,2722890,0.8075570441699812,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:05:16.273711+00:00,,,,,,,,,
578080,PUBG: BATTLEGROUNDS,12556,False,False,False,action/adventure protagonist,"Action, Adventure",2,,game,PUBG: BATTLEGROUNDS,True,13,False,"Dec 21, 2017",PUBG Corporation,"KRAFTON, Inc.","Action, Adventure, Massively Multiplayer, Free To Play","Multi-player, PvP, Online PvP, Custom Volume Controls, Stereo Sound, Surround Sound, Stats, Remote Play on Phone, Remote Play on Tablet",True,False,False,,1760609,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header.jpg?t=1778634253,https://www.pubg.com,https://support.pubg.com/hc/en-us,,,,,2720949,1642602,1078347,2720949,0.6036871694397801,5,Mixed,False,,,,,,,,,,,,,,,,,start10000_limit20000_20260615T073020Z,10000,20000,2026-06-15T09:24:46.544239+00:00,,,,,,,,,
105600,Terraria,1111,True,True,False,RPG/character progression,"Action, Adventure, Building, Open World, Open World Survival Craft, Platformer, RPG, Sandbox, Singleplayer, Survival",14,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric",game,Terraria,False,0,False,"May 16, 2011",Re-Logic,Re-Logic,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",True,True,True,83,1218302,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/105600/header.jpg?t=1769844435,http://www.terraria.org/,https://forums.terraria.org/index.php?forums/pc-support.102/,support@re-logic.com,"20,000,000 .. 50,000,000",0,0,1528250,1488329,39921,1528250,0.9738779649926388,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:07.928389+00:00,,,,,,,,,
359550,Tom Clancy's Rainbow Six Siege,5168,True,False,False,action/adventure protagonist,Action,1,,game,Tom Clancy's Rainbow Six Siege,True,17,False,"Dec 1, 2015",Ubisoft Montreal,Ubisoft,"Action, Free To Play","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",True,False,False,,1244360,"Tom Clancy's Rainbow Six Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/359550/a874bf3975eb2c291a67cf66172f126d211150fd/header_alt_assets_23.jpg?t=1781286900,http://rainbow6.ubi.com/,http://support.ubi.com,,,,,1522491,1253998,268493,1522491,0.8236488754284919,8,Very Positive,True,,,,,,,,,,,,,,,,,start5000_limit5000_20260614T200239Z,5000,5000,2026-06-14T20:03:06.550104+00:00,,,,,,,,,
252490,Rust,2036,True,True,False,RPG/character progression,"Action, Adventure, Building, FPS, First-Person, Open World, Open World Survival Craft, RPG, Sandbox, Shooter, Simulation, Survival",15,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Post-apocalyptic, Early Access, Simulation",game,Rust,False,0,False,"Feb 8, 2018",Facepunch Studios,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Surround Sound, Valve Anti-Cheat enabled, Stats, Remote Play on Tablet",True,True,False,69,1143004,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1781218495,http://rust.facepunch.com/,http://support.facepunchstudios.com/,,"20,000,000 .. 50,000,000",0,0,1369573,1190280,179293,1369573,0.8690883947040428,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:06:59.166387+00:00,,,,,,,,,
4000,Garry's Mod,125,True,True,False,systemic/player-role,"Action, Building, FPS, First-Person, Sandbox, Shooter, Simulation, Singleplayer",11,"Sandbox, Moddable, Multiplayer, Physics, Building, Casual, Funny, First-Person, Singleplayer, FPS, Simulation, Comedy, Online Co-Op, Co-op, Shooter, Action, Indie, PvP, Realistic, Exploration",game,Garry's Mod,False,0,False,"Nov 29, 2006",Facepunch Studios,Valve,"Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK, Remote Play on Tablet, Family Sharing",True,True,True,,1072279,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4000/header.jpg?t=1776868682,https://gmod.facepunch.com,https://support.facepunchstudios.com/,,"20,000,000 .. 50,000,000",0,0,1241884,1202903,38981,1241884,0.96861140009856,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:05:19.555332+00:00,,,,,,,,,
440,Team Fortress 2,15,True,True,False,action/adventure protagonist,"Action, FPS, First-Person, Hero Shooter, Shooter, Tactical",4,"Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting",game,Team Fortress 2,True,0,False,"Oct 10, 2007",Valve,Valve,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Surround Sound, Partial Controller Support, Valve Anti-Cheat enabled, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet",True,False,True,92,47150,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/440/header.jpg?t=1757348372,http://www.teamfortress.com/,http://steamcommunity.com/app/440,,"50,000,000 .. 100,000,000",0,0,1236340,1124476,111864,1236340,0.9095200349418444,8,Very Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:05:16.209197+00:00,,,,,,,,,
553850,HELLDIVERS™ 2,11670,False,False,False,action/adventure protagonist,Action,1,,game,HELLDIVERS™ 2,False,17,False,"Feb 8, 2024",Arrowhead Game Studios,PlayStation Publishing LLC,Action,"Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Adjustable Text Size, Camera Comfort, Chat Speech-to-text, Chat Text-to-speech, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Narrated Game Menus, Playable without Timed Input, Stereo Sound, Subtitle Options, Surround Sound, Partial Controller Support, Family Sharing",True,False,False,,828178,"The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/553850/f11c258b04a5e3e7771c1bab60f324ebf6c6c6fb/header.jpg?t=1779899567,https://www.playstation.com/games/helldivers-2/pc/,,support@arrowhead.zendesk.com,,,,1146116,860104,286012,1146116,0.7504510887205135,6,Mostly Positive,False,,,,,,,,,,,,,,,,,start10000_limit20000_20260615T073020Z,10000,20000,2026-06-15T08:44:58.101875+00:00,,,,,,,,,
550,Left 4 Dead 2,17,True,True,False,survival/sandbox or horror,"Action, Adventure, FPS, First-Person, Horror, Shooter, Singleplayer, Survival, Survival Horror, Tactical, Zombies",16,"Zombies, Co-op, FPS, Multiplayer, Shooter, Online Co-Op, Action, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical",game,Left 4 Dead 2,False,0,False,"Nov 16, 2009",Valve,Valve,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline",True,False,True,89,798110,"Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550/header.jpg?t=1772742214,http://www.l4d.com,http://steamcommunity.com/app/550,,"50,000,000 .. 100,000,000",0,0,1037604,1011960,25644,1037604,0.9752853689846994,9,Overwhelmingly Positive,True,,,,,,,,,,,,,,,,,start0_limit5000_20260614T210511Z,0,5000,2026-06-14T21:05:16.248201+00:00,,,,,,,,,
