appid,name_mini,protagonist_name_mini,protagonist_name_55,protagonist_type_mini,protagonist_type_55,primary_archetype_mini,primary_archetype_55,secondary_archetype_mini,secondary_archetype_55,tertiary_archetype_mini,tertiary_archetype_55,needs_manual_review_mini,needs_manual_review_55,suggested_include_in_final_corpus_mini,suggested_include_in_final_corpus_55,reason_short_mini,reason_short_55,archetype_notes_mini,archetype_notes_55
70,Half-Life,Gordon Freeman,Gordon Freeman,silent_fixed_protagonist,silent_fixed_protagonist,Hero/Warrior,Hero/Warrior,Explorer/Seeker,Sage/Investigator,Everyman/Orphan,Everyman/Orphan,False,False,yes,yes,Silent heroic protagonist.,Clear silent protagonist.,Reluctant scientist turned action hero; largely defined by survival and movement through disaster.,Scientist-survivor becomes action hero during the Black Mesa disaster.
220,Half-Life 2,Gordon Freeman,Gordon Freeman,silent_fixed_protagonist,silent_fixed_protagonist,Hero/Warrior,Hero/Warrior,Explorer/Seeker,Sage/Investigator,Everyman/Orphan,Everyman/Orphan,False,False,yes,yes,Clear silent hero figure.,Clear silent protagonist.,Reluctant savior thrust into resistance and survival; more symbol than voiced character.,Scientist cast as resistance hero and unlikely savior.
400,Portal,Chell,Chell,silent_fixed_protagonist,silent_fixed_protagonist,Explorer/Seeker,Everyman/Orphan,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,Hero/Warrior,False,False,yes,yes,Silent seeker protagonist.,Clear silent protagonist.,Minimalist escape-and-discovery arc; ordinary outsider framing with strong player projection.,Ordinary captive survives trials and escapes an oppressive system.
620,Portal 2,Chell,Chell,silent_fixed_protagonist,silent_fixed_protagonist,Explorer/Seeker,Everyman/Orphan,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,Hero/Warrior,False,False,yes,yes,"Silent fixed lead, strong seeker frame.",Clear silent protagonist.,"Driven by escape and discovery through test chambers; ordinary, resilient outsider with minimal characterization.",An isolated survivor escaping and navigating hostile experiments.
8870,BioShock Infinite,Booker DeWitt,Booker DeWitt,fixed_named_single,fixed_named_single,Shadow/Antihero,Shadow/Antihero,Explorer/Seeker,Caregiver/Guardian,Sage/Investigator,Hero/Warrior,False,False,yes,yes,Strong antihero with investigative arc.,Clear complex protagonist.,"Hard-edged, compromised investigator caught in a mystery; seeker and antihero elements dominate.",Haunted violent antihero whose rescue mission reveals guilt and identity fractures.
20920,The Witcher 2: Assassins of Kings Enhanced Edition,Geralt of Rivia,Geralt of Rivia,fixed_named_single,fixed_named_single,Shadow/Antihero,Hero/Warrior,Hero/Warrior,Shadow/Antihero,Explorer/Seeker,Sage/Investigator,False,False,yes,yes,Clear antihero lead.,Clear fixed protagonist.,Morally gray monster hunter and warrior navigating political intrigue and personal search.,Monster-slayer and political investigator with pragmatic antihero traits.
108710,Alan Wake,Alan Wake,Alan Wake,fixed_named_single,fixed_named_single,Creator/Artist,Creator/Artist,Explorer/Seeker,Sage/Investigator,Shadow/Antihero,Shadow/Antihero,False,False,yes,yes,Writer-as-protagonist archetype.,Clear creator protagonist.,A writer whose creative work shapes reality and who searches for meaning in a nightmare setting.,Author investigates a reality-warping nightmare shaped by writing and inner darkness.
204100,Max Payne 3,Max Payne,Max Payne,fixed_named_single,fixed_named_single,Shadow/Antihero,Shadow/Antihero,Hero/Warrior,Hero/Warrior,Sage/Investigator,Everyman/Orphan,False,False,yes,yes,Definitive noir antihero.,Clear antihero protagonist.,Self-destructive hardcase surviving through gunplay and grim persistence.,"Addicted, grief-haunted gunman seeks purpose through violent protection."
205100,Dishonored,Corvo Attano,Corvo Attano,fixed_named_single,silent_fixed_protagonist,Rebel/Outlaw,Shadow/Antihero,Shadow/Antihero,Caregiver/Guardian,Hero/Warrior,Hero/Warrior,False,False,yes,yes,Clear outlaw stealth protagonist.,Clear choice-shaped protagonist.,"An accused assassin operating outside the law, with revenge and resistance framing.",Framed protector pursues revenge or mercy while safeguarding Emily.
268910,Cuphead,Cuphead,Cuphead,fixed_dual,nonhuman_fixed_protagonist,Jester/Trickster,Jester/Trickster,Hero/Warrior,Rebel/Outlaw,Rebel/Outlaw,Hero/Warrior,False,False,yes,yes,Clear but light characterization.,Clear stylized protagonist.,"Playful, mischievous cartoon outlaw energy dominates more than deep characterization.",Impulsive trickster whose reckless deal forces heroic combat trials.
